Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010]
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,United Kingdom,GBR,1.83,1.64,1.92
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,United States,USA,2.081,2.056,1.931
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Upper middle income,UMC,2.62111113652418,1.89582872082814,1.84985226769867
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Uruguay,URY,2.52,2.237,2.011
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Uzbekistan,UZB,4.072,2.58,2.342
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Vanuatu,VUT,4.926,4.492,4.1
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Venezuela, RB",VEN,3.448,2.822,2.471
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Vietnam,VNM,3.553,2.01,1.938
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Virgin Islands (U.S.),VIR,2.954,2.06,2.3
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,West Bank and Gaza,PSE,6.718,5.383,4.437
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,World,WLD,3.2483556736806,2.69586251011468,2.5162725848584
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Yemen, Rep.",YEM,8.606,6.313,4.674
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Zambia,ZMB,6.442,6.036,5.415
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Zimbabwe,ZWE,4.862,3.748,4.034
"Age at first marriage, female",SP.DYN.SMAM.FE,Afghanistan,AFG,..,..,21.5
"Age at first marriage, female",SP.DYN.SMAM.FE,Albania,ALB,..,24.3,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Algeria,DZA,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,American Samoa,ASM,25.7,25.7,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Andorra,AND,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Angola,AGO,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Antigua and Barbuda,ATG,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Arab World,ARB,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Argentina,ARG,..,..,24.6
"Age at first marriage, female",SP.DYN.SMAM.FE,Armenia,ARM,..,22.2,24.5
"Age at first marriage, female",SP.DYN.SMAM.FE,Aruba,ABW,..,26.8,28.5
"Age at first marriage, female",SP.DYN.SMAM.FE,Australia,AUS,26,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Austria,AUT,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Azerbaijan,AZE,..,24.3,..
"Age at first marriage, female",SP.DYN.SMAM.FE,"Bahamas, The",BHS,27.2,27.4,27.9
"Age at first marriage, female",SP.DYN.SMAM.FE,Bahrain,BHR,..,..,26.9
"Age at first marriage, female",SP.DYN.SMAM.FE,Bangladesh,BGD,..,18.8,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Barbados,BRB,31.8,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Belarus,BLR,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Belgium,BEL,..,28.2,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Belize,BLZ,..,21,28.6
"Age at first marriage, female",SP.DYN.SMAM.FE,Benin,BEN,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Bermuda,BMU,..,29.8,30.6
"Age at first marriage, female",SP.DYN.SMAM.FE,Bhutan,BTN,..,..,21.4
"Age at first marriage, female",SP.DYN.SMAM.FE,Bolivia,BOL,..,22.6,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Bosnia and Herzegovina,BIH,..,23.9,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Botswana,BWA,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Brazil,BRA,..,23.1,29.7
"Age at first marriage, female",SP.DYN.SMAM.FE,British Virgin Islands,VGB,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Brunei Darussalam,BRN,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Bulgaria,BGR,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Burkina Faso,BFA,..,..,19.5
"Age at first marriage, female",SP.DYN.SMAM.FE,Burundi,BDI,22.5,23.4,22.1
"Age at first marriage, female",SP.DYN.SMAM.FE,Cabo Verde,CPV,25.7,24.6,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Cambodia,KHM,..,22.3,22
"Age at first marriage, female",SP.DYN.SMAM.FE,Cameroon,CMR,..,22.7,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Canada,CAN,25.5,26.6,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Caribbean small states,CSS,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Cayman Islands,CYM,..,..,28
"Age at first marriage, female",SP.DYN.SMAM.FE,Central African Republic,CAF,..,18.4,17.3
"Age at first marriage, female",SP.DYN.SMAM.FE,Central Europe and the Baltics,CEB,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Chad,TCD,..,18.5,18.2
"Age at first marriage, female",SP.DYN.SMAM.FE,Channel Islands,CHI,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Chile,CHL,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,China,CHN,22.1,23.3,24.7
"Age at first marriage, female",SP.DYN.SMAM.FE,Colombia,COL,23.1,23.1,22.3
"Age at first marriage, female",SP.DYN.SMAM.FE,Comoros,COM,..,21.7,..
"Age at first marriage, female",SP.DYN.SMAM.FE,"Congo, Dem. Rep.",COD,..,..,20.2
"Age at first marriage, female",SP.DYN.SMAM.FE,"Congo, Rep.",COG,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Costa Rica,CRI,..,22.2,24.2
"Age at first marriage, female",SP.DYN.SMAM.FE,Cote d'Ivoire,CIV,..,23,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Croatia,HRV,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Cuba,CUB,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Curacao,CUW,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Cyprus,CYP,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Czech Republic,CZE,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Denmark,DNK,29.3,..,30.8
"Age at first marriage, female",SP.DYN.SMAM.FE,Djibouti,DJI,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Dominica,DMA,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Dominican Republic,DOM,..,..,21.5
"Age at first marriage, female",SP.DYN.SMAM.FE,Early-demographic dividend,EAR,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,East Asia & Pacific,EAS,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,East Asia & Pacific (excluding high income),EAP,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,East Asia & Pacific (IDA & IBRD),TEA,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Ecuador,ECU,22,..,21.8
"Age at first marriage, female",SP.DYN.SMAM.FE,"Egypt, Arab Rep.",EGY,..,22.7,..
"Age at first marriage, female",SP.DYN.SMAM.FE,El Salvador,SLV,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Equatorial Guinea,GNQ,..,24.6,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Eritrea,ERI,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Estonia,EST,..,24.5,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Eswatini,SWZ,..,25.9,26.2
"Age at first marriage, female",SP.DYN.SMAM.FE,Ethiopia,ETH,19.4,20.6,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Euro area,EMU,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Europe & Central Asia,ECS,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Europe & Central Asia (excluding high income),ECA,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Europe & Central Asia (IDA & IBRD),TEC,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,European Union,EUU,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Faroe Islands,FRO,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Fiji,FJI,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Finland,FIN,27.9,30.3,30.2
"Age at first marriage, female",SP.DYN.SMAM.FE,Fragile and conflict affected situations,FCS,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,France,FRA,27.7,30.2,..
"Age at first marriage, female",SP.DYN.SMAM.FE,French Polynesia,PYF,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Gabon,GAB,..,22.1,..
"Age at first marriage, female",SP.DYN.SMAM.FE,"Gambia, The",GMB,..,20.2,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Georgia,GEO,..,22,21.8
"Age at first marriage, female",SP.DYN.SMAM.FE,Germany,DEU,26.1,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Ghana,GHA,..,22.4,24.1
"Age at first marriage, female",SP.DYN.SMAM.FE,Gibraltar,GIB,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Greece,GRC,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Greenland,GRL,31,30.8,31.2
"Age at first marriage, female",SP.DYN.SMAM.FE,Grenada,GRD,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Guam,GUM,24.4,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Guatemala,GTM,21.3,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Guinea,GIN,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Guinea-Bissau,GNB,..,20.9,21.7
"Age at first marriage, female",SP.DYN.SMAM.FE,Guyana,GUY,..,21.7,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Haiti,HTI,..,22.2,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Heavily indebted poor countries (HIPC),HPC,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,High income,HIC,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Honduras,HND,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,"Hong Kong SAR, China",HKG,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Hungary,HUN,22.2,26.5,31.1
"Age at first marriage, female",SP.DYN.SMAM.FE,IBRD only,IBD,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Iceland,ISL,28.8,..,27.8
"Age at first marriage, female",SP.DYN.SMAM.FE,IDA & IBRD total,IBT,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,IDA blend,IDB,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,IDA only,IDX,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,IDA total,IDA,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,India,IND,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Indonesia,IDN,21.6,22.5,22.3
"Age at first marriage, female",SP.DYN.SMAM.FE,"Iran, Islamic Rep.",IRN,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Iraq,IRQ,..,25.4,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Ireland,IRL,26,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Isle of Man,IMN,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Israel,ISR,24,25,26.2
"Age at first marriage, female",SP.DYN.SMAM.FE,Italy,ITA,..,28.6,30.6
"Age at first marriage, female",SP.DYN.SMAM.FE,Jamaica,JAM,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Japan,JPN,26.9,28.6,29.7
"Age at first marriage, female",SP.DYN.SMAM.FE,Jordan,JOR,24.1,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Kazakhstan,KAZ,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Kenya,KEN,..,22.1,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Kiribati,KIR,21.5,..,21.6
"Age at first marriage, female",SP.DYN.SMAM.FE,"Korea, Dem. People's Rep.",PRK,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,"Korea, Rep.",KOR,25.4,27.1,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Kosovo,XKX,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Kuwait,KWT,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Kyrgyz Republic,KGZ,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Lao PDR,LAO,..,21.1,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Late-demographic dividend,LTE,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Latin America & Caribbean,LCN,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Latin America & Caribbean (excluding high income),LAC,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Latin America & Caribbean (IDA & IBRD),TLA,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Latvia,LVA,..,26.7,29.5
"Age at first marriage, female",SP.DYN.SMAM.FE,Least developed countries: UN classification,LDC,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Lebanon,LBN,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Lesotho,LSO,..,22.3,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Liberia,LBR,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Libya,LBY,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Liechtenstein,LIE,..,28.3,29.7
"Age at first marriage, female",SP.DYN.SMAM.FE,Lithuania,LTU,..,..,28.2
"Age at first marriage, female",SP.DYN.SMAM.FE,Low & middle income,LMY,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Low income,LIC,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Lower middle income,LMC,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Luxembourg,LUX,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,"Macao SAR, China",MAC,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Madagascar,MDG,..,20.1,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Malawi,MWI,..,18.9,19.7
"Age at first marriage, female",SP.DYN.SMAM.FE,Malaysia,MYS,..,25.1,25.7
"Age at first marriage, female",SP.DYN.SMAM.FE,Maldives,MDV,19.1,21.8,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Mali,MLI,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Malta,MLT,..,..,28.2
"Age at first marriage, female",SP.DYN.SMAM.FE,Marshall Islands,MHL,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Mauritania,MRT,..,21.3,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Mauritius,MUS,23.8,22.6,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Mexico,MEX,22.4,22.7,23
"Age at first marriage, female",SP.DYN.SMAM.FE,"Micronesia, Fed. Sts.",FSM,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Middle East & North Africa,MEA,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Middle East & North Africa (excluding high income),MNA,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Middle East & North Africa (IDA & IBRD),TMN,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Middle income,MIC,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Moldova,MDA,..,22,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Monaco,MCO,..,29.2,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Mongolia,MNG,..,23.7,24.2
"Age at first marriage, female",SP.DYN.SMAM.FE,Montenegro,MNE,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Morocco,MAR,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Mozambique,MOZ,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Myanmar,MMR,..,25,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Namibia,NAM,..,27.5,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Nauru,NRU,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Nepal,NPL,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Netherlands,NLD,26.9,..,31.4
"Age at first marriage, female",SP.DYN.SMAM.FE,New Caledonia,NCL,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,New Zealand,NZL,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Nicaragua,NIC,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Niger,NER,..,17.8,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Nigeria,NGA,19.6,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,North America,NAC,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,North Macedonia,MKD,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Northern Mariana Islands,MNP,28.5,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Norway,NOR,28,31.4,31.8
"Age at first marriage, female",SP.DYN.SMAM.FE,OECD members,OED,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Oman,OMN,..,..,25.6
"Age at first marriage, female",SP.DYN.SMAM.FE,Other small states,OSS,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Pacific island small states,PSS,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Pakistan,PAK,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Palau,PLW,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Panama,PAN,21.9,21.9,21.6
"Age at first marriage, female",SP.DYN.SMAM.FE,Papua New Guinea,PNG,20.9,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Paraguay,PRY,21.9,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Peru,PER,..,23.6,23.1
"Age at first marriage, female",SP.DYN.SMAM.FE,Philippines,PHL,21.1,..,24.2
"Age at first marriage, female",SP.DYN.SMAM.FE,Poland,POL,23.1,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Portugal,PRT,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Post-demographic dividend,PST,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Pre-demographic dividend,PRE,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Puerto Rico,PRI,23.8,24.1,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Qatar,QAT,..,..,25.4
"Age at first marriage, female",SP.DYN.SMAM.FE,Romania,ROU,..,..,26.4
"Age at first marriage, female",SP.DYN.SMAM.FE,Russian Federation,RUS,..,..,24.4
"Age at first marriage, female",SP.DYN.SMAM.FE,Rwanda,RWA,..,22.6,24.4
"Age at first marriage, female",SP.DYN.SMAM.FE,Samoa,WSM,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,San Marino,SMR,..,28.2,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Sao Tome and Principe,STP,..,19.6,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Saudi Arabia,SAU,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Senegal,SEN,..,22,21.6
"Age at first marriage, female",SP.DYN.SMAM.FE,Serbia,SRB,..,..,25.9
"Age at first marriage, female",SP.DYN.SMAM.FE,Seychelles,SYC,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Sierra Leone,SLE,..,19.3,21
"Age at first marriage, female",SP.DYN.SMAM.FE,Singapore,SGP,27,26.5,27.9
"Age at first marriage, female",SP.DYN.SMAM.FE,Sint Maarten (Dutch part),SXM,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Slovak Republic,SVK,..,..,29.1
"Age at first marriage, female",SP.DYN.SMAM.FE,Slovenia,SVN,..,29.5,33.2
"Age at first marriage, female",SP.DYN.SMAM.FE,Small states,SST,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Solomon Islands,SLB,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Somalia,SOM,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,South Africa,ZAF,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,South Asia,SAS,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,South Asia (IDA & IBRD),TSA,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,South Sudan,SSD,24.1,20,18.4
"Age at first marriage, female",SP.DYN.SMAM.FE,Spain,ESP,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Sri Lanka,LKA,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,St. Kitts and Nevis,KNA,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,St. Lucia,LCA,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,St. Martin (French part),MAF,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,St. Vincent and the Grenadines,VCT,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Sub-Saharan Africa,SSF,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Sub-Saharan Africa (excluding high income),SSA,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Sub-Saharan Africa (IDA & IBRD),TSS,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Sudan,SDN,24.1,24.2,21.9
"Age at first marriage, female",SP.DYN.SMAM.FE,Suriname,SUR,..,21.7,22.9
"Age at first marriage, female",SP.DYN.SMAM.FE,Sweden,SWE,..,..,31.4
"Age at first marriage, female",SP.DYN.SMAM.FE,Switzerland,CHE,26.7,28.3,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Syrian Arab Republic,SYR,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Tajikistan,TJK,..,21.3,22.1
"Age at first marriage, female",SP.DYN.SMAM.FE,Tanzania,TZA,..,..,21
"Age at first marriage, female",SP.DYN.SMAM.FE,Thailand,THA,23.5,24.1,24.9
"Age at first marriage, female",SP.DYN.SMAM.FE,Timor-Leste,TLS,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Togo,TGO,..,21.4,21.8
"Age at first marriage, female",SP.DYN.SMAM.FE,Tonga,TON,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Trinidad and Tobago,TTO,26.8,28.1,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Tunisia,TUN,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Turkey,TUR,22,23.1,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Turkmenistan,TKM,..,23.4,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Turks and Caicos Islands,TCA,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Tuvalu,TUV,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Uganda,UGA,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Ukraine,UKR,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,United Arab Emirates,ARE,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,United Kingdom,GBR,26,..,32
"Age at first marriage, female",SP.DYN.SMAM.FE,United States,USA,25.4,26,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Upper middle income,UMC,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Uruguay,URY,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Uzbekistan,UZB,..,21.5,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Vanuatu,VUT,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,"Venezuela, RB",VEN,22.1,23.5,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Vietnam,VNM,..,23.3,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Virgin Islands (U.S.),VIR,27.5,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,West Bank and Gaza,PSE,..,21.7,23.5
"Age at first marriage, female",SP.DYN.SMAM.FE,World,WLD,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,"Yemen, Rep.",YEM,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Zambia,ZMB,21.2,20.9,21.8
"Age at first marriage, female",SP.DYN.SMAM.FE,Zimbabwe,ZWE,..,..,20.6
"Age at first marriage, male",SP.DYN.SMAM.MA,Afghanistan,AFG,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Albania,ALB,..,28.5,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Algeria,DZA,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,American Samoa,ASM,28.3,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Andorra,AND,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Angola,AGO,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Antigua and Barbuda,ATG,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Arab World,ARB,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Argentina,ARG,..,..,26.6
"Age at first marriage, male",SP.DYN.SMAM.MA,Armenia,ARM,..,26.1,27.8
"Age at first marriage, male",SP.DYN.SMAM.MA,Aruba,ABW,..,29.9,31.2
"Age at first marriage, male",SP.DYN.SMAM.MA,Australia,AUS,28.4,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Austria,AUT,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Azerbaijan,AZE,..,27.3,..
"Age at first marriage, male",SP.DYN.SMAM.MA,"Bahamas, The",BHS,29.1,29.9,30.6
"Age at first marriage, male",SP.DYN.SMAM.MA,Bahrain,BHR,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Bangladesh,BGD,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Barbados,BRB,34.3,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Belarus,BLR,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Belgium,BEL,..,30.7,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Belize,BLZ,..,23.7,30.1
"Age at first marriage, male",SP.DYN.SMAM.MA,Benin,BEN,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Bermuda,BMU,..,31.3,31.5
"Age at first marriage, male",SP.DYN.SMAM.MA,Bhutan,BTN,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Bolivia,BOL,..,24.5,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Bosnia and Herzegovina,BIH,..,28,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Botswana,BWA,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Brazil,BRA,..,26.2,31.9
"Age at first marriage, male",SP.DYN.SMAM.MA,British Virgin Islands,VGB,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Brunei Darussalam,BRN,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Bulgaria,BGR,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Burkina Faso,BFA,..,..,25.3
"Age at first marriage, male",SP.DYN.SMAM.MA,Burundi,BDI,25.7,26.2,25.4
